表一　佔有率
┌────────┬─────┬─────┬────┐
│產品區隔        │大型會議室│小型移動式│桌上型　│
│廠商            │系統　　　│系統　　　│系統　　│
├────────┼─────┼─────┼────┤
│Compression Lab.│49%　　　 │35%　　　 │36%　　 │
├────────┼─────┼─────┼────┤
│PictureTel      │23%　　　 │45%　　　 │55%　　 │
├────────┼─────┼─────┼────┤
│VTEL            │5%　　　　│7%　　　　│─　　　│
├────────┼─────┼─────┼────┤
│GPT             │11%　　　 │5%　　　　│─　　　│
├────────┼─────┼─────┼────┤
│Others          │12%　　　 │8%　　　　│9%　　　│
└────────┴─────┴─────┴────┘
